"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Rust",12.2764714233662,9,12,0,40.8888888888889,0.897326422688591,8.05904782547916,20.3355192488454,53.5,"Rust (53.5%)"
"Nix",3.50378843018941,2,37,1,26,0.933430235982277,3.84514301033838,7.34893144052779,19.3,"Nix (19.3%)"
"Go",2.66157381581317,2,0,0,29.5,0.922988890860567,3.84514301033838,6.50671682615155,17.1,"Go (17.1%)"
"R",1.41032654883101,1,0,0,15,0.959737095950737,2.42601513195981,3.83634168079082,10.1,"R (10.1%)"
