"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Rust",13.0229548081002,9,12,1,27.4444444444444,0.930638375777343,8.05904782547916,21.0820026335794,53.9,"Rust (53.9%)"
"Nix",3.58521585968916,2,36,1,18,0.953038885355501,3.84514301033838,7.43035887002755,19,"Nix (19%)"
"Go",2.83080590592932,2,0,0,14.5,0.961710133696805,3.84514301033838,6.67594891626771,17.1,"Go (17.1%)"
"R",1.5,1,0,0,0,1,2.42601513195981,3.92601513195981,10,"R (10%)"
